date,freq_003_quiet_state,freq_003_false_calm_internal_deterioration_count,freq_003_false_calm_missing_component_count,freq_003_false_calm_internal_deterioration_flag,freq_004_repair_episode_active,freq_004_repair_failure_pressure_count,freq_004_repair_episode_quality_score,freq_004_repair_relapse_flag
1999-03-10,1.0,0.0,5.0,0.0,,,,
1999-03-11,1.0,0.0,5.0,0.0,,,,
1999-03-12,1.0,0.0,5.0,0.0,,,,
1999-03-15,1.0,0.0,5.0,0.0,,,,
1999-03-16,1.0,0.0,5.0,0.0,,,,
1999-03-17,1.0,0.0,5.0,0.0,,,,
1999-03-18,1.0,0.0,5.0,0.0,,,,
1999-03-19,1.0,0.0,5.0,0.0,,,,
1999-03-22,1.0,0.0,5.0,0.0,,,,
1999-03-23,1.0,0.0,5.0,0.0,,,,
1999-03-24,1.0,0.0,5.0,0.0,,,,
1999-03-25,1.0,0.0,5.0,0.0,,,,
1999-03-26,1.0,0.0,5.0,0.0,,,,
1999-03-29,1.0,0.0,5.0,0.0,,,,
1999-03-30,1.0,0.0,5.0,0.0,,,,
1999-03-31,1.0,0.0,5.0,0.0,,,,
1999-04-01,1.0,0.0,5.0,0.0,,,,
1999-04-05,1.0,0.0,5.0,0.0,,,,
1999-04-06,1.0,0.0,5.0,0.0,,,,
1999-04-07,1.0,0.0,4.0,0.0,,,,
1999-04-08,1.0,0.0,4.0,0.0,,,,
1999-04-09,1.0,0.0,4.0,0.0,,,,
1999-04-12,1.0,0.0,4.0,0.0,,,,
1999-04-13,1.0,0.0,4.0,0.0,,,,
1999-04-14,1.0,1.0,4.0,0.0,,,,
1999-04-15,1.0,1.0,4.0,0.0,,,,
1999-04-16,1.0,1.0,4.0,0.0,,,,
1999-04-19,0.0,0.0,0.0,0.0,,,,
1999-04-20,1.0,1.0,4.0,0.0,,,,
1999-04-21,1.0,1.0,4.0,0.0,,,,
1999-04-22,1.0,0.0,4.0,0.0,,,,
1999-04-23,1.0,0.0,4.0,0.0,,,,
1999-04-26,1.0,0.0,4.0,0.0,,,,
1999-04-27,1.0,0.0,4.0,0.0,,,,
1999-04-28,1.0,1.0,4.0,0.0,,,,
1999-04-29,1.0,1.0,4.0,0.0,,,,
1999-04-30,1.0,1.0,4.0,0.0,,,,
1999-05-03,1.0,1.0,4.0,0.0,,,,
1999-05-04,0.0,0.0,0.0,0.0,,,,
1999-05-05,1.0,1.0,4.0,0.0,,,,
1999-05-06,0.0,0.0,0.0,0.0,,,,
1999-05-07,1.0,1.0,4.0,0.0,,,,
1999-05-10,1.0,1.0,4.0,0.0,,,,
1999-05-11,1.0,1.0,4.0,0.0,,,,
1999-05-12,1.0,0.0,4.0,0.0,,,,
1999-05-13,1.0,1.0,4.0,0.0,,,,
1999-05-14,1.0,1.0,4.0,0.0,,,,
1999-05-17,1.0,1.0,4.0,0.0,,,,
1999-05-18,1.0,1.0,4.0,0.0,,,,
1999-05-19,1.0,1.0,3.0,0.0,,,,
1999-05-20,1.0,1.0,3.0,0.0,,,,
1999-05-21,1.0,2.0,3.0,0.0,,,,
1999-05-24,0.0,0.0,0.0,0.0,,,,
1999-05-25,0.0,0.0,0.0,0.0,,,,
1999-05-26,0.0,0.0,0.0,0.0,,,,
1999-05-27,1.0,2.0,3.0,0.0,,,,
1999-05-28,1.0,2.0,3.0,0.0,,,,
1999-06-01,0.0,0.0,0.0,0.0,,,,
1999-06-02,1.0,2.0,3.0,0.0,,,,
1999-06-03,1.0,2.0,3.0,0.0,0.0,0.0,,0.0
1999-06-04,1.0,2.0,3.0,0.0,1.0,2.0,0.014545223352247796,1.0
1999-06-07,1.0,1.0,3.0,0.0,1.0,1.0,0.056488761429872095,0.0
1999-06-08,1.0,2.0,3.0,0.0,1.0,2.0,0.009529272053096796,1.0
1999-06-09,1.0,2.0,3.0,0.0,1.0,2.0,0.027084556644709497,1.0
1999-06-10,1.0,2.0,3.0,0.0,1.0,2.0,0.014858845194060798,1.0
1999-06-11,0.0,0.0,0.0,0.0,1.0,2.0,-0.0011291476216101978,1.0
1999-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-06-15,1.0,2.0,3.0,0.0,1.0,3.0,-0.025517037804011496,1.0
1999-06-16,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-17,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-18,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-21,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-22,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-06-23,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-24,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-06-25,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-06-28,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-29,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-06-30,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-01,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-02,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-06,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-07,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-08,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-09,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-12,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-13,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-14,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-15,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-16,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-19,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-07-20,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-07-21,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-07-22,1.0,1.0,3.0,0.0,1.0,0.0,0.0458567083616825,0.0
1999-07-23,1.0,1.0,3.0,0.0,1.0,0.0,0.0474279804646033,0.0
1999-07-26,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-07-27,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-07-28,1.0,1.0,3.0,0.0,1.0,0.0,0.040128254593178,0.0
1999-07-29,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-07-30,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-08-02,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-08-03,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-08-05,1.0,1.0,3.0,0.0,0.0,0.0,,0.0
1999-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-08-11,0.0,0.0,0.0,0.0,1.0,2.0,-0.007089848879586504,1.0
1999-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1999-08-13,1.0,1.0,3.0,0.0,1.0,2.0,0.0252425892648935,1.0
1999-08-16,1.0,0.0,3.0,0.0,1.0,2.0,0.033758398041313,1.0
1999-08-17,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
1999-08-18,1.0,0.0,3.0,0.0,1.0,2.0,0.0269748917760504,1.0
1999-08-19,1.0,0.0,3.0,0.0,1.0,2.0,0.0142724831303127,1.0
1999-08-20,1.0,0.0,3.0,0.0,1.0,2.0,0.031016122432660796,1.0
1999-08-23,1.0,0.0,3.0,0.0,0.0,0.0,,0.0
